HQ163619.1			HQ163619.1.1-1393 Uncultured gamma proteobacterium clone SHZZ758 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 120 m depth
GQ348042.1			GQ348042.1.1-1400 Uncultured gamma proteobacterium clone SGST552 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 100 m depth
GQ348946.1			GQ348946.1.1-1397 Uncultured gamma proteobacterium clone SHAG542 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 100 m depth
GQ350558.1			GQ350558.1.1-1394 Uncultured gamma proteobacterium clone SHBC826 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 120 m depth
GQ349219.1			GQ349219.1.1-1399 Uncultured gamma proteobacterium clone SHAN584 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 120 m depth
GQ346968.1			GQ346968.1.1-1397 Uncultured gamma proteobacterium clone SGPZ634 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 100 m depth
GCA_012961165.1			GCA 012961165.1.UBA9659 sp012961165	Guaymas Basin Hydrothermal plume metagenomeGCA 012961165.1
GQ337223.1			GQ337223.1.1-1517 Uncultured gamma proteobacterium clone CB1648b.56 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	water at depth of 900m
GQ350040.1			GQ350040.1.1-1391 Uncultured gamma proteobacterium clone SHAZ659 16S ribosomal RNA gene partial sequence	uncultured Gammaproteobacteria bacterium	Saanich Inlet 100 m depth
HQ729991.1			HQ729991.1.1-1390 Uncultured marine bacterium clone IB0329C6 16S ribosomal RNA gene partial sequence	uncultured marine bacterium	sea water collected from 200m
JX530427.1			JX530427.1.1-1460 Uncultured OM182 clade bacterium clone C146100253 16S ribosomal RNA gene partial sequence	uncultured OM182 clade bacterium	100m depth water samples filtered on 0.22 micron filter paper derived from the Southern ocean iron fertilization experiment (LOHAFEX)
JX526127.1			JX526127.1.1-1459 Uncultured OM182 clade bacterium clone C114100346 16S ribosomal RNA gene partial sequence	uncultured OM182 clade bacterium	100m depth water samples filtered on 0.22 micron filter paper derived from the Southern ocean iron fertilization experiment (LOHAFEX)
FLMP01000238.1	#86b8dc	Seawater	FLMP01000238.8380.9918_BacteriaProteobacteriaGammaproteobacteriaPseudomonadalesOM182_cladeseawater_metagenome.0.00000000
