EU487834.1			EU487834.1.1-1499 Uncultured bacterium clone CK G9 14 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487826.1			EU487826.1.1-1498 Uncultured bacterium clone CK G9 5 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487833.1			EU487833.1.1-1498 Uncultured bacterium clone CK G9 13 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487848.1			EU487848.1.1-1498 Uncultured bacterium clone CK G9 29 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487824.1			EU487824.1.1-1499 Uncultured bacterium clone CK G9 3 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487829.1			EU487829.1.1-1499 Uncultured bacterium clone CK G9 8 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487840.1			EU487840.1.1-1499 Uncultured bacterium clone CK G9 21 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487843.1			EU487843.1.1-1499 Uncultured bacterium clone CK G9 24 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487828.1			EU487828.1.1-1500 Uncultured bacterium clone CK G9 7 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487849.1			EU487849.1.1-1499 Uncultured bacterium clone CK G9 31 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487832.1			EU487832.1.1-1443 Uncultured bacterium clone CK G9 12 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487835.1			EU487835.1.1-1498 Uncultured bacterium clone CK G9 15 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487850.1			EU487850.1.1-1499 Uncultured bacterium clone CK G9 32 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487846.1			EU487846.1.1-1499 Uncultured bacterium clone CK G9 27 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487838.1			EU487838.1.2-1481 Uncultured bacterium clone CK G9 19 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487841.1			EU487841.1.1-1499 Uncultured bacterium clone CK G9 22 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487799.1			EU487799.1.1-1497 Uncultured bacterium clone CK G5 3 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487822.1			EU487822.1.1-1499 Uncultured bacterium clone CK G9 1 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487787.1			EU487787.1.2-1501 Uncultured bacterium clone CK G1 3 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487791.1			EU487791.1.2-1500 Uncultured bacterium clone CK G1 7 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487795.1			EU487795.1.2-1501 Uncultured bacterium clone CK G1 11 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487797.1			EU487797.1.2-1495 Uncultured bacterium clone CK G5 1 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487788.1			EU487788.1.2-1500 Uncultured bacterium clone CK G1 4 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487802.1			EU487802.1.1-1497 Uncultured bacterium clone CK G5 6 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487798.1			EU487798.1.1-1501 Uncultured bacterium clone CK G5 2 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487792.1			EU487792.1.2-1501 Uncultured bacterium clone CK G1 8 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487801.1			EU487801.1.1-1496 Uncultured bacterium clone CK G5 5 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487786.1			EU487786.1.2-1499 Uncultured bacterium clone CK G1 1 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487796.1			EU487796.1.1-1497 Uncultured bacterium clone CK G1 12 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487807.1			EU487807.1.1-1499 Uncultured bacterium clone CK G5 11 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487806.1			EU487806.1.1-1499 Uncultured bacterium clone CK G5 10 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487803.1			EU487803.1.1-1499 Uncultured bacterium clone CK G5 7 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487805.1			EU487805.1.1-1499 Uncultured bacterium clone CK G5 9 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487809.1			EU487809.1.2-1502 Uncultured bacterium clone CK G7 1 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU488029.1			EU488029.1.2-1497 Uncultured bacterium clone CK 1C3 51 16S ribosomal RNA gene partial sequence	uncultured bacterium	siliciclastic sedment from Thalassia sea grass bed
EU487897.1			EU487897.1.4-1499 Uncultured bacterium clone CK 1C1 40 16S ribosomal RNA gene partial sequence	uncultured bacterium	siliciclastic sedment from Thalassia sea grass bed
EU487790.1			EU487790.1.2-1496 Uncultured bacterium clone CK G1 6 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487812.1			EU487812.1.1-1499 Uncultured bacterium clone CK G8 8 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487789.1			EU487789.1.2-1497 Uncultured bacterium clone CK G1 5 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487800.1			EU487800.1.1-1499 Uncultured bacterium clone CK G5 4 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487813.1			EU487813.1.1-1499 Uncultured bacterium clone CK G8 9 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
EU487814.1			EU487814.1.1-1499 Uncultured bacterium clone CK G8 10 16S ribosomal RNA gene partial sequence	uncultured bacterium	gill symbiont from Thalassia sea grass beds	Lucina nassula (lucinid clam)
L25712.1			L25712.1.1-1493 Codakia costata gill symbiont ribosomal RNA	Codakia costata gill symbiont
