EU800980.1			EU800980.1.1-1450_Uncultured_bacterium_clone_2C229250_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Delaware_Bay_NJ.0.00000000
EU800697.1			EU800697.1.1-1451_Uncultured_bacterium_clone_2C228865_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Delaware_Bay_NJ.0.00000000
EU800138.1			EU800138.1.1-1414_Uncultured_bacterium_clone_2C228129_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Delaware_Bay_NJ.0.00070800
EU800743.1			EU800743.1.1-1450_Uncultured_bacterium_clone_2C228930_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Delaware_Bay_NJ.0.00069719
FJ155053.1	#f2faad.#c46935	Oil spill.Soil	FJ155053.1.1-1444_Uncultured_bacterium_clone_BZ_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	soil.0.00069652
EU800342.1			EU800342.1.1-1450_Uncultured_bacterium_clone_2C228398_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Delaware_Bay_NJ.0.00209415
FJ155052.1	#f2faad.#c46935	Oil spill.Soil	FJ155052.1.1-1444_Uncultured_bacterium_clone_BR_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	soil.0.00139476
EU268076.1			EU268076.1.1-1444_Uncultured_proteobacterium_clone_D0717_16S_ribosomal_RNA_gene_partial_sequence	uncultured_proteobacterium	sea_water.0.00279186
EU802063.1			EU802063.1.1-1450_Uncultured_bacterium_clone_3C003457_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Chesapeake_Bay_MD.0.00139534
KX934578.1			KX934578.1.1-1339_Uncultured_marine_bacterium_clone_H3SA1b053_16S_ribosomal_RNA_gene_partial_sequence	uncultured_marine_bacterium	CALCOFI_Line_67-H3_depth_of_5m_size_fraction_0.1-0.8_um.0.00299820
EU799808.1			EU799808.1.1-1421_Uncultured_bacterium_clone_1C227463_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Newport_Harbour_RI.0.00783729
EU799452.1			EU799452.1.1-1451_Uncultured_bacterium_clone_1C227054_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Newport_Harbour_RI.0.00278874
EU799878.1			EU799878.1.1-1450_Uncultured_bacterium_clone_1C227543_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Newport_Harbour_RI.0.00069689
EU800341.1			EU800341.1.1-1450_Uncultured_bacterium_clone_2C228397_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Delaware_Bay_NJ.0.00139452
HM057625.1			HM057625.1.9-1452_Uncultured_alpha_proteobacterium_clone_A13W_91_16S_ribosomal_RNA_gene_partial_sequence	uncultured_Alphaproteobacteria_bacterium	ocean_water_from_the_Yellow_Sea.0.00279404
EU799539.1			EU799539.1.1-1436_Uncultured_bacterium_clone_1C227150_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Newport_Harbour_RI.0.00211102
JX016455.1			JX016455.1.1-1444_Uncultured_bacterium_clone_HglFeb0046m_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	marine_bulk_water.0.00069690
EU800031.1			EU800031.1.1-1427_Uncultured_bacterium_clone_1C227718_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Newport_Harbour_RI.0.00281429
FR684866.1			FR684866.1.1-1443_uncultured_marine_bacterium_16S_rRNA_gene_clone_16_04_03H05	uncultured_marine_bacterium	marine_biome_fjord_coastal_water.0.00139453
FR685524.1			FR685524.1.1-1443_uncultured_marine_bacterium_16S_rRNA_gene_clone_16_05_02C04	uncultured_marine_bacterium	marine_biome_fjord_coastal_water.0.00209411
EU799797.1			EU799797.1.2-1380_Uncultured_bacterium_clone_1C227450_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Newport_Harbour_RI.0.00000000
